"","profit","TotalVotes","Budget","MetaCritic","overall_gross_4weeks","VotesM","VotesF","Rating"
"1",224405195,496092,2e+07,96,503506433,8.1,8.1,8.1
"2",61074027,297075,1.8e+07,82,649391833,7.6,7.6,7.6
"3",66201975,283935,8e+06,72,403911050,7.7,7.7,7.7
"4",90423370,225412,1.2e+07,NA,384158306,7.8,7.9,7.8
"5",17678984,76121,8900000,94,770628777,7.8,7.9,7.9
"6",323851006,486840,44500000,86,491022591,7.7,7.9,7.7
"7",256934325,370842,4.7e+07,81,596616566,7.9,8,8
"8",16291096,106553,3e+06,94,833071797,7.9,7.8,7.9
"9",715346440,315485,1.65e+08,74,656132516,7.7,8.2,7.8
"10",127555692,448725,1.8e+07,88,499926119,7.8,7.5,7.8
"11",423352724,587893,1.3e+07,79,452807240,8,8,8
"12",65847562,290327,4e+06,100,640594146,8,7.7,7.9
"13",197792102,223756,4e+07,81,463402600,7.6,7.6,7.6
"14",1311388844,431555,2.5e+08,75,713010104,7.8,7.9,7.9
"15",804030839,552706,1.7e+08,70,568568607,7.7,7.9,7.8
"16",6759472,115194,5e+06,72,766716363,7.9,8.1,7.9
"17",270892666,350818,5.5e+07,83,467003387,7.8,7.9,7.8
"18",248335162,179795,3.5e+07,82,671091050,7.6,7.5,7.6
"19",77496570,357641,5e+06,84,649866499,7.9,8.1,8
"20",749190155,349646,1.7e+08,79,640594146,7.6,7.5,7.6
"21",1088183688,652127,5.8e+07,65,694220458,8,8.1,8
"22",725627970,417592,6.9e+07,72,677349464,7.6,8,7.7
"23",-7126200,65448,1e+07,64,537258149,7.6,7.6,7.6
"24",488173672,1056822,1e+08,81,731082280,8.4,8.4,8.4
"25",745360315,328932,1.65e+08,72,692379164,7.5,7.8,7.6
"26",96235855,467642,1.5e+07,78,414648924,7.9,7.6,7.8
"27",292747512,480513,1.78e+08,71,676075485,7.9,7.8,7.9
"28",82129755,194675,7e+06,68,498842189,7.6,7.6,7.7
"29",47312372,348550,1.5e+07,78,581483831,7.8,7.5,7.7
"30",-10489576,66461,1.4e+07,NA,520030928,7.6,7.9,7.7
"31",229635812,337571,6.8e+07,64,499926119,7.6,7.6,7.6
"32",476097552,649474,6.1e+07,79,564211103,8.1,8.1,8.1
"33",897285410,630890,1e+08,96,465574791,7.8,7.5,7.8
"34",936505229,778220,1.7e+08,76,630486969,8,8.1,8.1
"35",202511969,244314,4e+07,71,692379164,8.1,8.3,8.2
"36",1006266610,363226,2.5e+08,65,553965306,7.5,8.2,7.7
"37",52887721,125026,1.2e+07,88,550075807,7.7,7.4,7.7
"38",49919502,398431,2.3e+07,90,622663702,8,7.8,8
"39",379732865,111357,2.5e+07,74,714393715,7.7,8.3,7.8
"40",653540443,240983,1.45e+08,76,645516939,7.8,8.1,7.9
"41",547459990,532296,1.65e+08,74,574869513,8.1,8.4,8.1
"42",109634667,261953,1.5e+08,83,440202993,7.5,7.6,7.5
"43",7910936,56964,2500000,81,800249090,7.8,8.2,7.9
"44",958108959,1609713,1.6e+08,74,618942046,8.8,8.7,8.8
"45",1039072885,430229,1.75e+08,94,782535182,8.2,8.2,8.2
"46",698140034,1075163,1.65e+08,74,656132516,8.6,8.4,8.6
"47",114260206,461860,3e+07,66,502292678,7.7,7.5,7.7
"48",461613270,450500,8.1e+07,NA,562247976,7.7,7.8,7.7
"49",57952633,78588,6e+07,84,478623074,7.8,8,7.8
"50",566771482,290330,3e+07,93,816833748,8.2,8.1,8.2
"51",529619540,260178,6.1e+07,63,731082280,7.5,7.9,7.6
"52",180031485,123032,1.2e+07,69,575491768,8,8.4,8.1
"53",239898513,222343,4e+07,NA,692334145,7.5,7.7,7.5
"54",382494694,649540,1.5e+08,90,650516020,8.1,7.9,8.1
"55",116735493,150266,8500000,96,521892956,7.9,7.7,7.9
"56",7833165,94563,8e+06,74,841243893,7.7,7.8,7.8
"57",190936264,324479,1.7e+07,81,742212651,7.7,7.6,7.7
"58",742088155,142460,1.5e+08,81,575491768,7.5,8,7.7
"59",135811708,300199,5e+07,87,400461951,7.6,7.3,7.6
"60",97775632,258231,1.6e+07,84,648897629,7.8,7.9,7.8
"61",33337784,97059,1.2e+07,86,656508872,7.7,7.7,7.7
"62",62578434,340717,8500000,76,587340437,7.9,7.7,7.9
"63",125839851,81855,1.2e+07,77,676863538,7.6,7.7,7.6
"64",137128989,441037,4.6e+07,74,453578706,8.1,8,8.1
"65",568561234,434037,9e+07,68,540826966,7.6,7.5,7.6
"66",1388234597,349210,2e+08,65,870521553,7.9,7.9,7.9
"67",79195248,345486,3.8e+07,75,470730002,8.1,8,8.1
"68",19188834,297633,6e+07,69,519492335,7.5,7.4,7.5
"69",1026200,63459,1e+06,82,460688526,8,8.2,8
"70",342817129,871391,8e+07,63,597627444,8.1,8.2,8.1
"71",101761737,250849,3e+07,82,510240374,7.6,7.3,7.6
"72",347505411,570344,2.1e+07,81,653304064,7.8,7.7,7.8
"73",12861640,56066,4e+06,79,653068299,8,8,8
"74",1212921290,552367,2e+08,81,745919120,7.7,7.7,7.8
"75",113402249,279211,2e+07,93,626102520,8.1,8.1,8.1
"76",506160130,421473,1.9e+08,72,782892236,7.7,8,7.8
"77",2759885849,676732,2.45e+08,81,988565990,8,8.3,8.1
"78",334832776,144011,2.8e+07,72,433129983,7.9,8,7.9
"79",532616872,321593,2.6e+08,71,494111497,7.6,8.2,7.8
"80",163104538,201344,1.5e+07,89,440202993,7.9,8.1,7.9
"81",1922170898,1056773,2.2e+08,69,766177768,8,8.2,8.1
"82",175700740,254317,2.8e+07,81,906688768,7.8,7.6,7.8
"83",79074797,107880,1.9e+07,NA,729970080,7.4,7.9,7.6
"84",1283078198,1240780,2.5e+08,78,631068252,8.5,8.4,8.4
"85",420039184,276272,1.2e+07,69,676075485,7.7,7.9,7.8
"86",197807878,292823,2.5e+07,79,546247657,7.9,7.7,7.8
"87",245133223,352566,9e+07,71,700575174,7.8,7.9,7.8
"88",209102648,541526,2.5e+07,88,592503663,8.1,8.2,8.1
"89",361347224,347299,2.5e+07,62,512067977,7.9,8.4,8.1
"90",1144107136,675678,1.8e+08,NA,766663694,7.8,8.1,7.9
"91",991733710,520084,2.25e+08,66,629687496,7.8,8.1,7.9
"92",1159679793,531466,1.3e+08,76,676863538,7.4,8.1,7.6
"93",310681391,540489,1.4e+07,73,461093104,8,8.3,8.1
"94",534664692,540240,1.5e+07,88,570534757,8,8.3,8
"95",666921384,271515,6e+07,83,597343068,7.8,7.7,7.8
"96",17710402,40777,81200000,70,650480301,7.6,8.1,7.8
"97",750595553,569347,1.08e+08,80,510240374,8,8.1,8
"98",38127075,382665,1.3e+07,67,498842189,8,8.1,8
"99",581588397,512526,1.35e+08,76,876040324,8,7.9,8
"100",281883009,516417,4e+07,95,449099361,7.8,7.4,7.7
"101",144620225,305145,1.5e+07,72,656132516,7.6,8,7.7
"102",209212398,297426,3.7e+07,74,389272933,7.6,7.4,7.6
"103",408901388,881984,1e+08,75,692334145,8.2,7.8,8.2
"104",1281974583,596385,2e+08,92,806979036,8.3,8.3,8.3
"105",385519932,257670,3.8e+07,80,570534757,7.7,7.6,7.6
"106",-26646,138624,5e+06,65,403911050,7.5,7.7,7.6
"107",-955358,26016,1e+06,65,408070323,7.6,7.6,7.6
"108",11714230,361049,2.5e+07,71,401460357,8.2,8.2,8.2
"109",8132448,87975,1600000,76,562247976,7.5,7.8,7.6
"110",58774041,492285,3300000,88,509758595,8.5,8.4,8.5
"111",495645778,295125,1.65e+08,72,769790671,7.7,7.8,7.7
"112",781784309,560736,2e+08,74,748685137,8,8.1,8
"113",340032429,556713,1.6e+08,65,628485352,7.7,7.9,7.8
"114",1215052443,309474,1.5e+08,78,706593876,8,8.3,8.1
